Year,#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
2014,70,T.T. Carey,LONG,31,32.7,18.5,6.6,15.2,.438,3.0,7.7,.395,2.1,2.7,.786,1.0,5.6,6.6,0.8,1.5,0.4,1.6,2.4
2014,71,Kyle Wilson,USMA,31,30.9,18.4,6.1,13.8,.443,2.0,4.7,.434,4.2,5.3,.791,0.5,2.1,2.6,1.5,0.5,0.1,2.1,1.6
2014,72,Ovie Soko,DUQ,30,31.0,18.4,5.7,12.2,.467,0.5,1.7,.275,6.5,9.6,.675,2.0,6.0,8.0,1.7,0.9,0.6,2.7,3.2
2014,73,C.J. Wilcox,UWASH,32,34.9,18.3,6.2,13.6,.453,2.8,7.2,.391,3.2,3.7,.873,0.7,3.0,3.7,2.5,1.0,1.0,1.7,2.3
2014,74,J.J. Mann,BLMNT,36,35.2,18.3,6.1,13.2,.460,2.5,6.3,.390,3.8,4.3,.871,0.4,4.4,4.8,2.6,2.1,0.1,1.7,1.4
2014,75,Chris Fouch,DREX,30,35.4,18.3,6.2,15.5,.399,2.4,7.4,.324,3.5,4.3,.822,0.7,2.6,3.2,2.0,0.9,0.1,1.3,2.8
2014,76,R.J. Hunter,GAST,33,33.5,18.3,5.5,12.4,.444,3.0,7.7,.395,4.3,4.9,.882,0.3,4.2,4.6,1.7,1.9,0.9,1.2,2.3
2014,77,K.T. Harrell,AUB,30,32.6,18.3,5.8,13.4,.433,2.2,6.1,.359,4.5,5.1,.870,0.7,3.3,4.0,2.1,0.8,0.2,2.9,2.6
2014,78,"Juwan Howard, Jr.",UDM,32,34.5,18.3,6.8,16.1,.419,1.7,4.8,.344,3.1,3.7,.839,1.8,3.5,5.3,2.2,1.0,0.5,1.9,2.3
2014,79,Branden Frazier,FORD,31,36.8,18.2,6.0,15.1,.397,1.5,5.1,.283,4.8,5.6,.855,1.5,3.5,5.1,4.3,1.1,0.3,3.0,2.3
2014,80,Russ Smith,LVILL,37,29.3,18.2,6.1,13.0,.468,1.9,4.9,.387,4.1,5.9,.705,0.8,2.5,3.3,4.6,2.0,0.1,2.8,2.5
2014,81,Juwan Staten,WVU,33,37.3,18.1,6.2,12.8,.486,0.2,0.5,.400,5.5,7.7,.719,0.8,4.8,5.6,5.8,1.2,0.1,2.1,1.6
2014,82,Zaccheus Mason,CHATT,31,30.3,18.1,6.5,13.2,.490,1.3,3.8,.342,3.8,5.4,.713,2.9,6.7,9.7,0.8,0.9,3.0,2.4,2.3
2014,83,Terran Petteway,UNL,32,31.7,18.1,5.7,13.3,.426,1.5,4.6,.327,5.2,6.4,.819,0.9,3.9,4.8,1.6,0.9,0.8,2.8,3.2
2014,84,Christian Standhardinger,HAW,31,31.9,18.1,5.7,12.0,.474,0.4,1.5,.277,6.3,8.2,.768,3.0,5.5,8.4,1.5,1.4,0.7,2.7,2.9
2014,85,Shabazz Napier,UConn,40,35.1,18.0,5.3,12.4,.429,2.2,5.4,.405,5.2,6.0,.870,1.0,4.9,5.9,4.9,1.8,0.3,2.9,2.1
2014,86,T.J. Bray,PRIN,26,35.4,18.0,5.8,10.9,.537,2.0,4.8,.413,4.3,5.4,.800,0.5,4.3,4.8,5.1,1.3,0.2,1.8,2.0
2014,87,Akeem Richmond,ECAR,34,35.3,18.0,5.3,13.3,.401,4.6,11.5,.395,2.8,3.3,.848,0.6,2.2,2.8,1.6,1.3,0.0,1.7,1.2
2014,88,"Walt Lemon, Jr.",BRDLY,32,35.5,18.0,6.6,15.5,.424,0.9,3.1,.290,3.9,5.3,.746,0.3,2.8,3.1,3.9,2.4,0.1,3.6,2.4
2014,89,Marcus Smart,OKST,31,32.7,18.0,5.3,12.5,.422,1.6,5.3,.299,5.9,8.1,.728,1.4,4.5,5.9,4.8,2.9,0.6,2.6,2.9
2014,90,Corey Hawkins,UCD,30,33.8,18.0,5.7,12.8,.444,1.3,3.9,.322,5.3,7.0,.757,0.7,3.8,4.5,3.0,1.5,0.4,2.0,2.2
2014,91,Ledrick Eackles,MCNST,31,31.6,17.8,5.1,14.0,.366,2.5,6.9,.364,5.0,6.6,.765,1.2,3.7,4.9,2.4,1.5,0.2,2.9,2.5
2014,92,Melvin Ejim,IWAST,34,32.1,17.8,6.5,12.8,.505,1.3,3.7,.346,3.6,4.7,.761,2.6,5.8,8.4,1.8,1.2,0.7,2.3,3.3
2014,93,Byron Wesley,USC,30,34.6,17.8,6.4,13.6,.467,0.8,2.4,.338,4.2,5.9,.713,1.5,4.9,6.4,2.3,0.9,0.3,2.0,1.7
2014,94,Ryan Harrow,GAST,34,33.9,17.8,6.5,14.6,.446,0.9,3.1,.288,3.8,4.6,.839,0.7,1.9,2.6,4.2,1.3,0.1,1.7,1.3
2014,95,D.J. Newbill,PENST,34,34.4,17.8,6.1,13.6,.452,1.4,4.1,.326,4.1,5.5,.753,1.8,3.1,4.9,1.7,0.8,0.3,2.1,2.8
2014,96,Chad Frazier,UAB,31,35.3,17.7,5.5,13.7,.401,2.0,5.8,.339,4.8,6.5,.729,0.5,2.8,3.3,4.3,1.1,0.3,4.0,2.0
2014,97,Langston Galloway,STJOE,34,36.2,17.7,5.6,12.6,.444,3.2,7.2,.443,3.4,4.1,.826,0.8,3.4,4.3,1.6,1.1,0.5,0.8,2.4
2014,98,Rashad Whack,MSMU,33,33.3,17.6,5.5,13.2,.416,2.5,6.9,.366,4.1,5.2,.789,0.9,3.4,4.3,1.3,1.6,0.4,2.1,2.3
2014,99,Tim Williams,SAMF,32,33.0,17.6,6.8,11.3,.601,0.0,0.1,.333,4.0,5.4,.750,2.0,5.3,7.3,0.8,1.3,1.4,1.8,2.3
2014,100,Taylor Braun,NDSU,32,34.0,17.6,5.3,11.3,.471,1.3,3.1,.414,5.7,7.3,.785,0.6,4.8,5.5,3.8,1.5,0.2,2.0,2.1
2015,1,Tyler Harvey,EWASH,32,36.9,23.1,7.2,15.3,.469,4.0,9.3,.431,4.7,5.5,.852,0.6,3.0,3.6,2.6,1.1,0.1,2.0,1.9
2015,2,Zeek Woodley,NSU,32,31.5,22.2,8.2,14.6,.560,1.2,3.1,.398,4.6,5.7,.813,1.7,3.3,5.0,1.1,1.0,0.7,1.2,2.3
2015,3,Tyler Haws,BYU,35,32.1,22.2,7.4,15.4,.480,1.5,4.2,.367,5.9,6.7,.873,1.3,3.1,4.5,2.4,0.9,0.3,2.0,1.4
2015,4,Denzel Livingston,UIW,29,36.9,21.5,6.6,14.4,.455,1.6,4.6,.343,6.8,8.5,.805,1.5,4.4,5.9,2.9,2.6,1.3,2.8,3.0
2015,5,Damion Lee,DREX,27,38.1,21.4,6.3,14.4,.438,2.4,6.3,.385,6.4,7.2,.887,0.9,5.2,6.1,2.3,1.5,0.3,1.9,2.2
2015,6,Saah Nimley,CHASO,31,35.7,21.4,5.9,15.4,.384,3.5,9.9,.358,6.0,7.4,.820,0.5,3.5,4.1,4.1,0.9,0.0,2.7,2.2
2015,7,Amere May,DESU,32,34.2,21.0,7.1,17.0,.418,2.8,7.2,.387,4.0,4.9,.821,1.0,3.2,4.2,2.7,1.0,0.2,2.9,1.8
2015,8,Corey Hawkins,UCD,28,33.4,20.9,6.7,13.4,.503,2.9,5.9,.488,4.6,5.6,.822,0.7,4.3,4.9,3.4,1.4,0.2,3.0,1.9
2015,9,D.J. Newbill,PENST,34,37.1,20.7,7.1,15.9,.450,1.8,4.9,.370,4.6,6.1,.758,1.1,3.6,4.7,3.1,1.3,0.2,2.6,2.1
2015,10,Joe Young,OREG,36,36.7,20.7,7.4,16.4,.448,2.5,7.1,.357,3.4,3.7,.925,0.5,3.9,4.4,3.8,1.1,0.0,2.4,1.4
2015,11,Chavaughn Lewis,MRST,29,35.7,20.6,7.0,16.9,.413,1.4,4.9,.289,5.1,7.7,.665,0.9,4.4,5.3,2.7,2.3,0.8,3.6,2.4
2015,12,Ty Greene,USCU,35,34.0,20.3,6.6,14.9,.444,2.9,7.2,.407,4.1,5.4,.751,0.9,2.2,3.1,2.1,2.1,0.2,1.3,1.6
