BPI RK,TEAM,CONF,W-L,BPI,OFF,DEF,Year,,,,,
215,Samford Bulldogs,Southern,21-11,-2.3,-0.4,-1.9,2022,,,,,
216,Long Island University Sharks,NEC,16-14,-2.3,-1.4,-0.9,2022,,,,,
217,UMass Lowell River Hawks,Am. East,15-16,-2.3,-3.4,1,2022,,,,,
218,UMBC Retrievers,Am. East,18-14,-2.4,0.5,-2.9,2022,,,,,
219,Quinnipiac Bobcats,MAAC,14-17,-2.4,0.2,-2.6,2022,,,,,
220,Dartmouth Big Green,Ivy,16-Sep,-2.6,-2.2,-0.4,2022,,,,,
221,Kennesaw State Owls,ASUN,13-18,-2.7,0.3,-3,2022,,,,,
222,Valparaiso Beacons,MVC,14-18,-2.7,-0.3,-2.5,2022,,,,,
223,Rice Owls,CUSA,16-17,-2.7,2,-4.7,2022,,,,,
224,Illinois State Redbirds,MVC,13-20,-2.9,-0.4,-2.4,2022,,,,,
225,George Washington Revolutionaries,A-10,18-Dec,-2.9,-2.4,-0.4,2022,,,,,
226,San Diego Toreros,WCC,15-16,-2.9,-3.6,0.8,2022,,,,,
227,Pennsylvania Quakers,Ivy,16-Dec,-2.9,0.8,-3.8,2022,,,,,
228,Eastern Kentucky Colonels,ASUN,13-18,-2.9,-0.3,-2.6,2022,,,,,
229,Oregon State Beavers,Pac-12,28-Mar,-2.9,1.4,-4.4,2022,,,,,
230,La Salle Explorers,A-10,19-Nov,-3,-3,0,2022,,,,,
231,UT Arlington Mavericks,Sun Belt,18-Nov,-3,-3.2,0.2,2022,,,,,
232,Stony Brook Seawolves,Am. East,18-13,-3,1.1,-4.1,2022,,,,,
233,Mount St. Mary's Mountaineers,NEC,14-16,-3.1,-3.4,0.3,2022,,,,,
234,Rider Broncs,MAAC,14-19,-3.1,-2.5,-0.7,2022,,,,,
235,The Citadel Bulldogs,Southern,13-18,-3.3,0.1,-3.4,2022,,,,,
236,California Baptist Lancers,WAC,18-16,-3.3,-1.9,-1.4,2022,,,,,
237,Canisius Golden Griffins,MAAC,21-Nov,-3.3,-3.2,-0.1,2022,,,,,
238,Eastern Washington Eagles,Big Sky,18-16,-3.4,0.3,-3.7,2022,,,,,
239,Portland State Vikings,Big Sky,14-17,-3.4,-4.1,0.7,2022,,,,,
240,Loyola Marymount Lions,WCC,18-Nov,-3.5,1.2,-4.7,2022,,,,,
241,Miami (OH) RedHawks,MAC,14-18,-3.5,1.2,-4.7,2022,,,,,
242,North Carolina Central Eagles,MEAC,16-15,-3.5,-2.8,-0.8,2022,,,,,
243,Marshall Thundering Herd,CUSA,21-Dec,-3.5,-1.7,-1.8,2022,,,,,
244,Siena Saints,MAAC,15-14,-3.6,-3.1,-0.4,2022,,,,,
245,Texas A&M-Corpus Christi Islanders,Southland,23-12,-3.7,-2.6,-1,2022,,,,,
246,Manhattan Jaspers,MAAC,15-15,-3.8,-1.4,-2.5,2022,,,,,
247,Youngstown State Penguins,Horizon,19-15,-3.8,0.4,-4.3,2022,,,,,
248,Tarleton State Texans,WAC,14-17,-3.9,-3.9,0,2022,,,,,
249,Montana Grizzlies,Big Sky,18-14,-3.9,-2.4,-1.6,2022,,,,,
250,UC Davis Aggies,Big West,13-11,-4,-4.1,0.2,2022,,,,,
