BPI RK,TEAM,CONF,W-L,OFF,DEF,BPI,Year,,,,,
211,Long Beach State Beach,Big West,15-19,-2.4,-0.1,-2.5,2019,,,,,
212,North Florida Ospreys,ASUN,16-17,-0.6,-2,-2.6,2019,,,,,
213,Prairie View A&M Panthers,SWAC,22-13,-1.2,-1.4,-2.6,2019,,,,,
214,South Alabama Jaguars,Sun Belt,17-17,-1.1,-1.6,-2.6,2019,,,,,
215,Valparaiso Beacons,MVC,15-18,-3.3,0.6,-2.8,2019,,,,,
216,UIC Flames,Horizon,16-16,-2.3,-0.5,-2.8,2019,,,,,
217,Illinois State Redbirds,MVC,17-16,-2,-0.9,-2.9,2019,,,,,
218,Quinnipiac Bobcats,MAAC,16-15,0.6,-3.6,-3,2019,,,,,
219,St. Francis (PA) Red Flash,NEC,18-15,1.1,-4.2,-3,2019,,,,,
220,UT Rio Grande Valley Vaqueros,WAC,20-17,-3.9,0.8,-3.1,2019,,,,,
221,Boston University Terriers,Patriot,15-18,-0.3,-2.8,-3.1,2019,,,,,
222,La Salle Explorers,A-10,21-Oct,-3,-0.2,-3.2,2019,,,,,
223,William & Mary Tribe,CAA,14-17,0,-3.2,-3.2,2019,,,,,
224,Army Black Knights,Patriot,13-19,-4.1,0.9,-3.2,2019,,,,,
225,South Dakota Coyotes,Summit,13-17,-2.1,-1.2,-3.3,2019,,,,,
226,Eastern Kentucky Colonels,OVC,13-18,-2.4,-1,-3.4,2019,,,,,
227,Florida International Panthers,CUSA,20-14,-1.6,-1.9,-3.5,2019,,,,,
228,Pacific Tigers,WCC,14-18,-2.5,-1,-3.5,2019,,,,,
229,High Point Panthers,Big South,16-15,-2.9,-0.7,-3.5,2019,,,,,
230,Indiana State Sycamores,MVC,15-16,-2.5,-1.1,-3.6,2019,,,,,
231,Holy Cross Crusaders,Patriot,16-17,-1.7,-1.9,-3.6,2019,,,,,
232,Sacred Heart Pioneers,NEC,15-17,-0.1,-3.5,-3.6,2019,,,,,
233,Norfolk State Spartans,MEAC,22-14,-3.8,0.2,-3.6,2019,,,,,
234,Troy Trojans,Sun Belt,18-Dec,-0.4,-3.3,-3.7,2019,,,,,
235,Washington State Cougars,Pac-12,21-Nov,1.6,-5.3,-3.8,2019,,,,,
236,Long Island University Sharks,NEC,16-16,-3.2,-0.6,-3.8,2019,,,,,
237,Eastern Washington Eagles,Big Sky,16-18,-1.2,-2.6,-3.9,2019,,,,,
238,Robert Morris Colonials,NEC,18-17,-4.3,0.5,-3.9,2019,,,,,
239,Cal State Bakersfield Roadrunners,WAC,18-16,-1.5,-2.5,-3.9,2019,,,,,
240,Cornell Big Red,Ivy,15-16,-3.8,-0.2,-4,2019,,,,,
241,Little Rock Trojans,Sun Belt,21-Oct,-2.8,-1.2,-4,2019,,,,,
242,The Citadel Bulldogs,Southern,18-Dec,2.6,-6.7,-4.1,2019,,,,,
243,Portland State Vikings,Big Sky,16-16,-1.5,-2.7,-4.2,2019,,,,,
244,UMass Lowell River Hawks,Am. East,15-17,0,-4.2,-4.2,2019,,,,,
245,Drexel Dragons,CAA,13-19,0.6,-4.8,-4.3,2019,,,,,
246,Fordham Rams,A-10,20-Dec,-4.5,0.2,-4.3,2019,,,,,
247,Sacramento State Hornets,Big Sky,15-16,-4.3,0,-4.3,2019,,,,,
248,Evansville Purple Aces,MVC,21-Nov,-3.7,-0.9,-4.6,2019,,,,,
249,North Dakota Fighting Hawks,Summit,18-Dec,-3.1,-1.5,-4.6,2019,,,,,
250,Marist Red Foxes,MAAC,19-Dec,-1.7,-2.9,-4.6,2019,,,,,
251,Siena Saints,MAAC,17-16,-1.5,-3.1,-4.6,2019,,,,,
252,Morehead State Eagles,OVC,13-20,-1.2,-3.4,-4.6,2019,,,,,
253,Florida Gulf Coast Eagles,ASUN,14-18,-2.5,-2.2,-4.6,2019,,,,,
254,Canisius Golden Griffins,MAAC,15-17,-1.7,-3,-4.7,2019,,,,,
255,Jacksonville Dolphins,ASUN,20-Dec,-2.7,-2,-4.7,2019,,,,,
256,Chattanooga Mocs,Southern,20-Dec,-2.2,-2.7,-4.9,2019,,,,,
257,UC Davis Aggies,Big West,20-Nov,-4.5,-0.4,-5,2019,,,,,
258,St. Francis Brooklyn Terriers,NEC,17-16,-4.8,-0.2,-5,2019,,,,,
259,Montana State Bobcats,Big Sky,15-17,2,-7,-5,2019,,,,,
260,Delaware Blue Hens,CAA,17-16,-0.1,-5.1,-5.2,2019,,,,,
261,Western Michigan Broncos,MAC,24-Aug,-3.4,-1.9,-5.3,2019,,,,,
262,SE Louisiana Lions,Southland,17-16,-4,-1.3,-5.3,2019,,,,,
263,UNC Wilmington Seahawks,CAA,23-Oct,1.2,-6.6,-5.3,2019,,,,,
264,Kansas City Roos,WAC,21-Nov,-2.9,-2.5,-5.4,2019,,,,,
265,North Carolina Central Eagles,MEAC,18-16,-3.6,-1.8,-5.4,2019,,,,,
266,Grambling Tigers,SWAC,17-17,-5.6,0.2,-5.4,2019,,,,,
267,Loyola Maryland Greyhounds,Patriot,21-Nov,-2.1,-3.3,-5.4,2019,,,,,
268,UAlbany Great Danes,Am. East,20-Dec,-3.9,-1.7,-5.6,2019,,,,,
269,Arkansas State Red Wolves,Sun Belt,13-19,-1.9,-3.7,-5.6,2019,,,,,
270,Detroit Mercy Titans,Horizon,20-Nov,-0.2,-5.4,-5.7,2019,,,,,
271,Southern Utah Thunderbirds,Big Sky,17-17,-4.5,-1.3,-5.7,2019,,,,,
272,Houston Christian Huskies,Southland,18-Dec,0,-5.9,-6,2019,,,,,
273,Towson Tigers,CAA,22-Oct,-2.6,-3.5,-6,2019,,,,,
274,Fairfield Stags,MAAC,22-Sep,-4.3,-1.7,-6,2019,,,,,
275,California Golden Bears,Pac-12,23-Aug,-2,-4.1,-6.1,2019,,,,,
276,Bethune-Cookman Wildcats,MEAC,14-17,-6.2,0,-6.1,2019,,,,,
277,Middle Tennessee Blue Raiders,CUSA,21-Nov,-5,-1.2,-6.2,2019,,,,,
278,East Carolina Pirates,American,21-Oct,-4.6,-1.7,-6.2,2019,,,,,
279,Cal State Northridge Matadors,Big West,13-21,-0.4,-5.8,-6.3,2019,,,,,
280,George Washington Revolutionaries,A-10,24-Sep,-5,-1.3,-6.3,2019,,,,,
281,Rice Owls,CUSA,13-19,-1.6,-4.8,-6.4,2019,,,,,
