BPI RK,TEAM,CONF,W-L,BPI,OFF,DEF,Year,,,,,
299,High Point Panthers,Big South,14-17,-6.7,-3.1,-3.6,2023,,,,,
300,Binghamton Bearcats,Am. East,13-18,-6.7,-4.2,-2.6,2023,,,,,
301,Tennessee State Tigers,OVC,18-14,-6.9,-2.1,-4.8,2023,,,,,
302,California Golden Bears,Pac-12,29-Mar,-6.9,-6.1,-0.8,2023,,,,,
303,Arkansas State Red Wolves,Sun Belt,13-20,-7.1,-3.4,-3.6,2023,,,,,
304,Texas Southern Tigers,SWAC,14-21,-7.1,-5.4,-1.6,2023,,,,,
305,North Carolina A&T Aggies,CAA,13-19,-7.2,-4.1,-3.1,2023,,,,,
306,UC San Diego Tritons,Big West,20-Oct,-7.2,-3.3,-3.9,2023,,,,,
307,UIC Flames,MVC,20-Dec,-7.4,-5.7,-1.7,2023,,,,,
308,William & Mary Tribe,CAA,13-20,-7.4,-3,-4.4,2023,,,,,
309,Jackson State Tigers,SWAC,14-19,-7.5,-4.4,-3.1,2023,,,,,
310,Northeastern Huskies,CAA,20-Oct,-7.6,-4.7,-2.9,2023,,,,,
311,St. Francis (PA) Red Flash,NEC,13-18,-7.7,-1.3,-6.4,2023,,,,,
312,Cal State Bakersfield Roadrunners,Big West,22-Nov,-7.8,-7.2,-0.5,2023,,,,,
313,Texas A&M-Commerce Lions,Southland,13-20,-7.9,-2.6,-5.2,2023,,,,,
314,Stonehill Skyhawks,NEC,14-17,-7.9,-5.8,-2.1,2023,,,,,
315,Loyola Maryland Greyhounds,Patriot,13-20,-8,-3.9,-4.1,2023,,,,,
316,South Dakota Coyotes,Summit,19-Dec,-8.2,-1.7,-6.5,2023,,,,,
317,Western Michigan Broncos,MAC,23-Aug,-8.2,-1.5,-6.7,2023,,,,,
318,Tulsa Golden Hurricane,American,25-May,-8.4,-3.9,-4.5,2023,,,,,
319,Kansas City Roos,Summit,21-Nov,-8.5,-7.2,-1.4,2023,,,,,
320,The Citadel Bulldogs,Southern,22-Oct,-8.6,-4,-4.5,2023,,,,,
321,Stony Brook Seawolves,CAA,22-Nov,-8.6,-5.1,-3.5,2023,,,,,
322,NJIT Highlanders,Am. East,23-Jul,-8.6,-4.8,-3.8,2023,,,,,
323,UTSA Roadrunners,CUSA,22-Oct,-8.7,-3.8,-4.9,2023,,,,,
