Rank,Player,High School,Position,Height / Weight,Rating,Year,Star,Height,Weight
129,Kenny Gaines,,SG,6-4 / 185,89,2012,3.0,6-4,185
130,DeVon Walker,,SG,6-6 / 190,89,2012,3.0,6-6,190
131,Carlos Morris,,SG,6-5 / 175,89,2012,3.0,6-5,175
132,Jerome Hairston,,PG,6-2 / 175,89,2012,3.0,6-2,175
133,Damien Wilson,,SF,6-5 / 180,89,2012,3.0,6-5,180
134,Kale Abrahamson,,SF,6-6 / 195,89,2012,3.0,6-6,195
135,Shawn Smith,,SG,6-4 / 175,89,2012,3.0,6-4,175
136,Ben Carter,,PF,6-7 / 190,89,2012,3.0,6-7,190
137,Jaron Blossomgame,,SF,6-7 / 195,89,2012,3.0,6-7,195
138,Jay Simpson,,PF,6-7 / 205,89,2012,3.0,6-7,205
139,Twymond Howard,,SF,6-6 / 200,89,2012,3.0,6-6,200
140,Aaron Rountree,,SF,6-7 / 190,88,2012,3.0,6-7,190
141,Victor Robbins,,SF,6-5 / 180,88,2012,3.0,6-5,180
142,Peter Jurkin,,C,7-0 / 225,88,2012,3.0,7-0,225
143,Terry Henderson,,SG,6-3 / 160,88,2012,3.0,6-3,160
144,Shaq Johnson,,SF,6-4 / 200,88,2012,3.0,6-4,200
145,Tonye Jekiri,,C,6-11 / 220,88,2012,3.0,6-11,220
146,Charles Mann,,PG,6-6 / 190,87,2012,3.0,6-6,190
147,JaCorey Williams,,SF,6-8 / 195,87,2012,3.0,6-8,195
148,Fred Thomas,,SG,6-5 / 180,87,2012,3.0,6-5,180
149,Landry Nnoko,,C,6-10 / 210,87,2012,3.0,6-10,210
150,Seth Allen,,PG,6-2 / 180,87,2012,3.0,6-2,180
151,Tevin Glass,,SF,6-8 / 180,87,2012,3.0,6-8,180
152,Brandon Morris,,SF,6-7 / 200,87,2012,3.0,6-7,200
153,Sam Cassell Jr.,,PG,6-3 / 175,86,2012,3.0,6-3,175
154,Sheldon Jeter,,SF,6-6 / 205,86,2012,3.0,6-6,205
155,Ian Baker,,PG,6-1 / 175,86,2012,3.0,6-1,175
156,Laimonas Chatkevicius,,PF,6-10 / 225,85,2012,3.0,6-10,225
157,Michael Qualls,,SF,6-5 / 200,85,2012,3.0,6-5,200
158,Adonis Filer,,CG,6-3 / 195,85,2012,3.0,6-3,195
159,Anthlon Bell,,SG,6-3 / 180,85,2012,3.0,6-3,180
160,Ryan Rosburg,,PF,6-9.5 / 245,85,2012,3.0,6-9.5,245
161,Dillon Graham,,SG,6-5 / 190,85,2012,3.0,6-5,190
162,Andre Applewhite,,SG,6-4 / 200,85,2012,3.0,6-4,200
163,Tyrone Haughton,,PF,6-8 / 205,85,2012,3.0,6-8,205
164,Stefan Jankovic,,SF,6-10 / 200,85,2012,3.0,6-10,200
165,Chris Bolden,,SG,6-3 / 195,85,2012,3.0,6-3,195
166,Willie Moore,,CG,6-3 / 190,84,2012,3.0,6-3,190
167,J.T. Miller,,SG,6-3 / 170,84,2012,3.0,6-3,170
168,Derek Reese,,SF,6-7 / 195,84,2012,3.0,6-7,195
169,Jacoby Davis,,PG,6-1 / 185,83,2012,3.0,6-1,185
170,Willie Clayton,,PF,6-8 / 220,83,2012,3.0,6-8,220
171,Shawn Lester,,SG,6-3 / 170,83,2012,3.0,6-3,170
172,AJ Astroph,,SF,6-6 / 185,83,2012,3.0,6-6,185
173,Anthony Morse,,PF,6-8 / 205,83,2012,3.0,6-8,205
174,Mike Hall,,C,6-10 / 210,83,2012,3.0,6-10,210
175,Justin Tuoyo,,PF,6-9 / 210,83,2012,3.0,6-9,210
176,Negus Webster-Chan,,SG,6-7 / 195,83,2012,3.0,6-7,195
177,Chris Jones,,CG,6-6 / 190,82,2012,3.0,6-6,190
178,Kenny Martin,,PF,6-9 / 210,82,2012,3.0,6-9,210
179,Eron Harris,,SG,6-3 / 160,82,2012,3.0,6-3,160
180,Devonte Thornton,,SF,6-7 / 195,82,2012,3.0,6-7,195
181,Dee Wagner,,PG,5-11 / 170,82,2012,3.0,5-11,170
182,Olivier Hanlan,,SG,6-4 / 188,82,2012,3.0,6-4,188
183,Joe Rahon,,PG,6-1 / 175,81,2012,3.0,6-1,175
184,Donald Thomas,,SF,6-7 / 190,81,2012,3.0,6-7,190
185,Patrick Holloway,,SG,6-2 / 160,81,2012,3.0,6-2,160
186,Reggie Dillard,,SG,6-3 / 175,81,2012,3.0,6-3,175
187,Terry Brutus,,SF,6-5 / 215,80,2012,3.0,6-5,215
188,Marshall Wood,,PF,6-8 / 210,80,2012,3.0,6-8,210
189,Chris Bryant,,PF,6-8 / 190,80,2012,3.0,6-8,190
190,Jordan Roper,,PG,6-1 / 170,80,2012,3.0,6-1,170
191,Darion Clark,,PF,6-6 / 220,79,2012,3.0,6-6,220
192,Keenan Palmore,,PG,6-1 / 170,79,2012,3.0,6-1,170
193,Jordon Granger,,PF,6-7 / 212,79,2012,3.0,6-7,212
194,Beau Beech,,SF,6-7 / 200,79,2012,3.0,6-7,200
195,Andre Nation,,SF,6-5 / 190,79,2012,3.0,6-5,190
196,Josh Smith,,PF,6-8 / 260,79,2012,3.0,6-8,260
197,Larry Wideman,,SG,6-4 / 175,79,2012,3.0,6-4,175
198,Justin Seymour,,PG,6-3 / 195,79,2012,3.0,6-3,195
199,Cleon Roberts,,SG,6-4 / 175,79,2012,3.0,6-4,175
200,Houston Kessler,,PF,6-8 / 210,78,2012,3.0,6-8,210
201,Brandon Channer,,SG,6-3 / 180,78,2012,3.0,6-3,180
202,Josh Fortney,,PF,6-8 / 245,77,2012,3.0,6-8,245
203,Travis Hammond,,SF,6-5 / 175,77,2012,3.0,6-5,175
204,Raemond Robinson,,PG,6-0 / 175,77,2012,3.0,6-0,175
205,Hans Brase,,PF,6-8 / 220,77,2012,3.0,6-8,220
206,Mindaugas Kacinas,,SF,6-8 / 200,76,2012,3.0,6-8,200
207,Evan Robinson,,SF,6-6 / 195,76,2012,3.0,6-6,195
208,LaRon Smith,,PF,6-8 / 210,75,2012,3.0,6-8,210
209,Marcus Fillyaw,,PG,6-1 / 175,74,2012,3.0,6-1,175
1,Andrew Wiggins,,SF,6-8 / 195,100,2013,5.0,6-8,195
2,Julius Randle,,PF,6-9 / 250,100,2013,5.0,6-9,250
3,Andrew Harrison,,PG,6-4 / 200,100,2013,5.0,6-4,200
4,Aaron Gordon,,SF,6-8 / 210,100,2013,5.0,6-8,210
5,Aaron Harrison,,SG,6-4 / 200,100,2013,5.0,6-4,200
6,Jabari Parker,,SF,6-8 / 241,99,2013,5.0,6-8,241
7,Chris Walker,,PF,6-10 / 210,99,2013,5.0,6-10,210
8,Dakari Johnson,,C,6-10 / 250,99,2013,5.0,6-10,250
9,Kasey Hill,,PG,6-1 / 175,99,2013,5.0,6-1,175
10,James Young,,SF,6-6 / 200,99,2013,5.0,6-6,200
11,Jarell Martin,,SF,6-8 / 210,99,2013,5.0,6-8,210
12,Wayne Selden,,SG,6-5 / 213,99,2013,5.0,6-5,213
13,Joel Embiid,,C,7-0 / 245,99,2013,5.0,7-0,245
14,Marcus Lee,,PF,6-9 / 215,99,2013,5.0,6-9,215
15,Noah Vonleh,,PF,6-9 / 220,99,2013,5.0,6-9,220
16,Isaac Hamilton,,SG,6-5 / 180,98,2013,5.0,6-5,180
17,Terry Rozier,,PG,6-1 / 180,98,2013,5.0,6-1,180
18,Rondae Hollis-Jefferson,,SF,6-7 / 215,98,2013,5.0,6-7,215
19,Isaiah Hicks,,PF,6-8 / 205,98,2013,5.0,6-8,205
20,Roddy Peters,,PG,6-4 / 190,98,2013,5.0,6-4,190
21,Robert Hubbs,,SG,6-6 / 195,98,2013,5.0,6-6,195
22,Sindarius Thornwell,,SG,6-5 / 195,98,2013,5.0,6-5,195
23,Semi Ojeleye,,SF,6-7 / 215,98,2013,5.0,6-7,215
24,Jermaine Lawrence,,SF,6-9 / 220,98,2013,5.0,6-9,220
25,Bobby Portis,,PF,6-10 / 225,98,2013,5.0,6-10,225
26,Keith Frazier,,SG,6-6 / 190,98,2013,5.0,6-6,190
27,Brannen Greene,,SG,6-7 / 200,98,2013,5.0,6-7,200
28,Jabari Bird,,SG,6-6 / 190,97,2013,4.0,6-6,190
29,Austin Nichols,,PF,6-9 / 220,97,2013,4.0,6-9,220
30,Jordan Mickey,,PF,6-8 / 225,97,2013,4.0,6-8,225
31,Kuran Iverson,,SF,6-9 / 215,97,2013,4.0,6-9,215
32,Eric Mika,,C,6-9 / 215,97,2013,4.0,6-9,215
33,Nigel Williams-Goss,,PG,6-3 / 185,97,2013,4.0,6-3,185
34,Zak Irvin,,SG,6-5 / 170,97,2013,4.0,6-5,170
35,Troy Williams,,SG,6-6 / 185,97,2013,4.0,6-6,185
36,Tyler Ennis,,PG,6-2 / 180,97,2013,4.0,6-2,180
37,Mamadou Ndiaye,,C,7-5 / 320,97,2013,4.0,7-5,320
38,Tyler Roberson,,SF,6-7 / 190,97,2013,4.0,6-7,190
39,Anthony Barber,,PG,6-1 / 160,97,2013,4.0,6-1,160
40,Moses Kingsley,,C,6-9 / 250,97,2013,4.0,6-9,250
41,Aquille Carr,,PG,5-7 / 150,96,2013,4.0,5-7,150
42,Jajuan Johnson,,SG,6-4 / 185,96,2013,4.0,6-4,185
43,Conner Frankamp,,SG,6-1 / 165,96,2013,4.0,6-1,165
44,Christian Wood,,PF,6-8 / 200,96,2013,4.0,6-8,200
45,Anthony January,,SF,6-7 / 195,95,2013,4.0,6-7,195
46,Brandon Austin,,SF,6-7 / 195,95,2013,4.0,6-7,195
47,Johnathan Williams,,PF,6-8 / 200,95,2013,4.0,6-8,200
48,Demetrius Jackson,,PG,6-2 / 185,95,2013,4.0,6-2,185
49,Matt Jones,,SG,6-4 / 175,95,2013,4.0,6-4,175
50,Deonte Burton,,SF,6-5 / 230,95,2013,4.0,6-5,230
51,Rysheed Jordan,,PG,6-2 / 175,95,2013,4.0,6-2,175
52,Frank Mason,,PG,5-11 / 180,95,2013,4.0,5-11,180
53,Devin Williams,,PF,6-9 / 225,95,2013,4.0,6-9,225
54,Nick King,,SF,6-7 / 220,95,2013,4.0,6-7,220
55,Anton Gill,,SG,6-3 / 185,95,2013,4.0,6-3,185
56,Kennedy Meeks,,C,6-9 / 275,95,2013,4.0,6-9,275
57,Ishmail Wainright,,SF,6-5 / 225,95,2013,4.0,6-5,225
58,Derek Willis,,SF,6-9 / 200,95,2013,4.0,6-9,200
59,Kendrick Nunn,,SG,6-3 / 175,95,2013,4.0,6-3,175
60,John Egbunu,,C,7-0 / 220,95,2013,4.0,7-0,220
61,Damian Jones,,PF,6-9 / 220,95,2013,4.0,6-9,220
62,Devon Hall,,PG,6-5 / 205,95,2013,4.0,6-5,205
63,Xavier Rathan-Mayes,,SG,6-2 / 175,95,2013,4.0,6-2,175
64,Bronson Koenig,,PG,6-3 / 185,94,2013,4.0,6-3,185
65,Derrick Walton,,PG,6-0 / 170,94,2013,4.0,6-0,170
66,Duane Wilson,,PG,6-3 / 175,94,2013,4.0,6-3,175
67,Matt Thomas,,SG,6-4 / 170,94,2013,4.0,6-4,170
68,Stanford Robinson,,SG,6-4 / 185,94,2013,4.0,6-4,185
69,Markel Crawford,,SG,6-4 / 180,94,2013,4.0,6-4,180
70,Nick Emery,,PG,6-1 / 180,94,2013,4.0,6-1,180
71,Derrick Griffin,,PF,6-7 / 210,94,2013,4.0,6-7,210
72,Dominic Woodson,,PF,6-9 / 290,94,2013,4.0,6-9,290
73,Nate Britt,,PG,6-2 / 165,94,2013,4.0,6-2,165
74,Marc Loving,,SF,6-7 / 185,94,2013,4.0,6-7,185
75,Jimmie Taylor,,C,6-9.25 / 225,94,2013,4.0,6-9.25,225
76,Kendall Stephens,,SG,6-6 / 170,93,2013,3.0,6-6,170
77,Tim Quarterman,,PG,6-6 / 180,93,2013,3.0,6-6,180
78,Karviar Shepherd,,C,6-9 / 215,93,2013,3.0,6-9,215
79,Zach LaVine,,SG,6-2 / 180,93,2013,3.0,6-2,180
80,Johnathan Motley,,PF,6-9 / 205,93,2013,3.0,6-9,205
81,Kendal Yancy,,PG,6-3 / 195,93,2013,3.0,6-3,195
82,Kam Williams,,SG,6-2 / 175,93,2013,3.0,6-2,175
83,Allerik Freeman,,SG,6-5 / 215,93,2013,3.0,6-5,215
84,Elijah Macon,,PF,6-8 / 200,93,2013,3.0,6-8,200
85,Davon Reed,,SG,6-5 / 195,93,2013,3.0,6-5,195
86,Reggie Cameron,,SF,6-7 / 200,93,2013,3.0,6-7,200
87,Tonny Trocha-Morelos,,PF,6-10 / 210,93,2013,3.0,6-10,210
88,Damarcus Croaker,,SG,6-3 / 175,93,2013,3.0,6-3,175
89,Kentan Facey,,PF,6-8 / 190,92,2013,3.0,6-8,190
90,Wesley Clark,,PG,5-10 / 171,92,2013,3.0,5-10,171
91,Bryson Scott,,PG,6-1 / 180,92,2013,3.0,6-1,180
92,Torren Jones,,PF,6-8 / 210,92,2013,3.0,6-8,210
93,Jarquez Smith,,PF,6-9 / 225,91,2013,3.0,6-9,225
94,Akoy Agau,,PF,6-9 / 230,91,2013,3.0,6-9,230
95,Kyle Washington,,PF,6-8 / 215,91,2013,3.0,6-8,215
96,Austin Colbert,,PF,6-9 / 205,91,2013,3.0,6-9,205
97,RaShawn Powell,,PG,6-0 / 165,91,2013,3.0,6-0,165
98,V.J. Beachem,,SF,6-7 / 180,91,2013,3.0,6-7,180
99,Shannon Hale,,PF,6-7 / 205,91,2013,3.0,6-7,205
100,BeeJay Anya,,C,6-8 / 270,91,2013,3.0,6-8,270
101,Malcolm Hill,,SG,6-5 / 190,91,2013,3.0,6-5,190
102,Jaron Hopkins,,SG,6-5 / 185,90,2013,3.0,6-5,185
103,Leyton Hammonds,,SF,6-8 / 200,90,2013,3.0,6-8,200
104,Dakarai Allen,,SF,6-4 / 175,90,2013,3.0,6-4,175
105,Jaylen Brantley,,PG,5-10 / 155,90,2013,3.0,5-10,155
106,Stevie Clark,,PG,5-9 / 160,90,2013,3.0,5-9,160
107,Michael Young,,PF,6-8 / 210,90,2013,3.0,6-8,210
108,Jordan Mathews,,SG,6-3 / 170,90,2013,3.0,6-3,170
109,Zach Coleman,,SF,6-7 / 210,90,2013,3.0,6-7,210
110,Vince Hunter,,SF,6-7 / 205,90,2013,3.0,6-7,205
111,Kris Jenkins,,PF,6-6 / 245,90,2013,3.0,6-6,245
112,Zena Edosomwan,,PF,6-8 / 220,90,2013,3.0,6-8,220
113,Tai Webster,,PG,6-1 / 190,89,2013,3.0,6-1,190
114,Demetrius Henry,,PF,6-8 / 215,89,2013,3.0,6-8,215
115,Monte Morris,,PG,6-3 / 173,89,2013,3.0,6-3,173
116,Junior Etou,,PF,6-8 / 230,89,2013,3.0,6-8,230
117,Greg McClinton,,SF,6-6 / 180,89,2013,3.0,6-6,180
118,Terrence Samuel,,PG,6-3 / 175,89,2013,3.0,6-3,175
119,Tyree Robinson,,SG,6-4 / 190,89,2013,3.0,6-4,190
120,Sam Singer,,PG,6-4 / 175,89,2013,3.0,6-4,175
121,Roschon Prince,,SG,6-6 / 200,89,2013,3.0,6-6,200
122,E.C. Matthews,,SG,6-4 / 185,89,2013,3.0,6-4,185
123,Josh Hart,,SF,6-5 / 196,89,2013,3.0,6-5,196
124,Gavin Schilling,,PF,6-9 / 240,89,2013,3.0,6-9,240
125,Juwan Parker,,SG,6-3 / 195,89,2013,3.0,6-3,195
126,Dondre Alexander,,PG,6-3 / 205,89,2013,3.0,6-3,205
127,Jalen James,,PG,6-2 / 180,89,2013,3.0,6-2,180
128,Jaylon Tate,,PG,6-2 / 180,89,2013,3.0,6-2,180
129,Marcus Allen,,SG,6-2 / 175,89,2013,3.0,6-2,175
130,Dustin Thomas,,PF,6-8 / 210,89,2013,3.0,6-8,210
131,Josh Brown,,PG,6-3 / 190,89,2013,3.0,6-3,190
132,Nigel Hayes,,PF,6-7 / 200,89,2013,3.0,6-7,200
133,Antravious Simmons,,PF,6-8 / 250,89,2013,3.0,6-8,250
134,Jeremy Morgan,,SG,6-6 / 175,89,2013,3.0,6-6,175
135,Josh Newkirk,,PG,6-2 / 170,89,2013,3.0,6-2,170
136,Ike Iroegbu,,PG,6-0 / 170,89,2013,3.0,6-0,170
137,Billy Garrett,,SG,6-4 / 180,89,2013,3.0,6-4,180
138,Nolan Berry,,PF,6-8 / 200,89,2013,3.0,6-8,200
139,Jevon Thomas,,PG,5-10 / 160,89,2013,3.0,5-10,160
140,Brandon Watkins,,PF,6-9 / 210,89,2013,3.0,6-9,210
141,Darin Johnson,,PG,6-4 / 200,89,2013,3.0,6-4,200
142,Nick Fuller,,SF,6-7 / 195,89,2013,3.0,6-7,195
143,Chris Perry,,C,6-8 / 245,88,2013,3.0,6-8,245
144,Elliott Pitts,,SG,6-5 / 180,88,2013,3.0,6-5,180
145,Mark Donnal,,PF,6-9 / 215,88,2013,3.0,6-9,215
146,Jonathan Severe,,PG,6-2 / 185,88,2013,3.0,6-2,185
147,Sterling Brown,,SG,6-4 / 190,88,2013,3.0,6-4,190
148,Jordan Woodard,,PG,6-0 / 160,88,2013,3.0,6-0,160
149,Kevin Johnson,,SG,6-2 / 175,88,2013,3.0,6-2,175
150,Scoochie Smith,,SG,6-2 / 160,88,2013,3.0,6-2,160
151,Dominique Hawkins,,PG,6-0 / 170,88,2013,3.0,6-0,170
152,Isaiah Lewis,,PG,6-3 / 175,88,2013,3.0,6-3,175
153,Kyle Davis,,PG,5-11 / 165,88,2013,3.0,5-11,165
154,Dwight Coleby,,PF,6-9 / 220,88,2013,3.0,6-9,220
155,Chance Murray,,SG,6-3 / 180,88,2013,3.0,6-3,180
156,J.J. Frazier,,PG,5-9 / 170,88,2013,3.0,5-9,170
157,Geno Thorpe,,PG,6-3 / 177,88,2013,3.0,6-3,177
158,Roger Moute a Bidias,,PF,6-7 / 185,88,2013,3.0,6-7,185
159,Tavario Miller,,PF,6-7 / 205,88,2013,3.0,6-7,205
160,Travis Jorgenson,,PG,6-0 / 165,88,2013,3.0,6-0,165
161,Trevor Thompson,,C,6-10 / 210,88,2013,3.0,6-10,210
162,Ron Patterson,,SG,6-3 / 195,88,2013,3.0,6-3,195
163,Payton Banks,,SF,6-6 / 220,88,2013,3.0,6-6,220
164,Jordan Robinson,,PF,6-8 / 230,88,2013,3.0,6-8,230
165,London Perrantes,,PG,6-0 / 170,88,2013,3.0,6-0,170
166,Elijah Brown,,SG,6-4 / 185,88,2013,3.0,6-4,185
167,Darius Thompson,,PG,6-4 / 175,88,2013,3.0,6-4,175
168,Donte Clark,,SG,6-3 / 170,88,2013,3.0,6-3,170
169,Steve Vasturia,,SG,6-4 / 180,87,2013,3.0,6-4,180
170,Deandre Burnett,,PG,6-1 / 190,87,2013,3.0,6-1,190
171,Damonte Dodd,,C,6-9 / 240,87,2013,3.0,6-9,240
172,Tre'Shaun Fletcher,,SF,6-6 / 180,87,2013,3.0,6-6,180
173,Chinonso Obokoh,,C,6-10 / 220,87,2013,3.0,6-10,220
174,Davonte Fitzgerald,,SF,6-7 / 190,87,2013,3.0,6-7,190
175,Hassan Martin,,SF,6-7 / 190,87,2013,3.0,6-7,190
176,Maverick Morgan,,C,6-10 / 240,87,2013,3.0,6-10,240
177,B.J. Johnson,,SF,6-7 / 170,87,2013,3.0,6-7,170
178,Jaren Sina,,PG,6-2 / 175,87,2013,3.0,6-2,175
179,Devin Davis,,SF,6-6 / 205,87,2013,3.0,6-6,205
180,Daquein McNeil,,SG,6-3 / 190,87,2013,3.0,6-3,190
181,Douglas Brooks,,SG,6-3 / 165,87,2013,3.0,6-3,165
182,Dayshawn Watkins,,PG,- / -,87,2013,3.0,-,-
183,Paul Watson,,SF,6-6 / 180,86,2013,3.0,6-6,180
184,A.J. Davis,,SF,6-8 / 185,86,2013,3.0,6-8,185
185,Byron Zeigler,,SF,6-6 / 180,86,2013,3.0,6-6,180
186,Quinton Stephens,,SF,6-8 / 180,86,2013,3.0,6-8,180
187,Brandon Parrish,,SF,6-5 / 185,86,2013,3.0,6-5,185
188,Brian Bridgewater,,SF,6-5 / 215,86,2013,3.0,6-5,215
189,I.J. Ready,,PG,5-10 / 160,86,2013,3.0,5-10,160
190,Calvin Hermanson,,SF,6-6 / 190,86,2013,3.0,6-6,190
191,Nate Taphorn,,SF,6-8 / 185,86,2013,3.0,6-8,185
192,Jamel Artis,,SF,6-6 / 210,86,2013,3.0,6-6,210
193,Jairus Lyles,,PG,6-0 / 180,86,2013,3.0,6-0,180
194,Tony Nunn,,PF,6-8 / 250,86,2013,3.0,6-8,250
195,Steven Haney,,SG,6-6 / 185,86,2013,3.0,6-6,185
196,Deshaun Morman,,SG,6-4 / 190,86,2013,3.0,6-4,190
197,Tahj Shamsid-Deen,,PG,5-10 / 162,86,2013,3.0,5-10,162
198,Cullen Neal,,SG,6-4 / 180,86,2013,3.0,6-4,180
199,Soma Edo,,PF,6-6 / 220,86,2013,3.0,6-6,220
200,Vitto Brown,,PF,6-7 / 215,86,2013,3.0,6-7,215
201,Andre Spight,,SG,6-3 / 165,86,2013,3.0,6-3,165
202,Marcus Foster,,PG,6-0 / 155,86,2013,3.0,6-0,155
203,Schuyler Rimmer,,PF,6-8 / 230,86,2013,3.0,6-8,230
204,Dylan Johns,,PF,6-10 / 225,86,2013,3.0,6-10,225
205,Desmond Ringer,,PF,6-9 / 220,86,2013,3.0,6-9,220
206,Andre Horne,,PF,6-7 / 215,85,2013,3.0,6-7,215
207,Tyrell Robinson,,SG,6-3 / 200,85,2013,3.0,6-3,200
208,Julian Moore,,C,6-9 / 218,85,2013,3.0,6-9,218
209,Hallice Cooke,,SG,6-3 / 185,85,2013,3.0,6-3,185
210,Rene Castro,,SG,6-2 / 175,85,2013,3.0,6-2,175
211,Rodney Bullock,,PF,6-7 / -,85,2013,3.0,6-7,-
212,Braiden Shaw,,PF,6-8 / 210,85,2013,3.0,6-8,210
213,Troy Caupain,,SG,6-3 / 185,85,2013,3.0,6-3,185
214,Nathan Hawkins,,SG,6-5 / 190,85,2013,3.0,6-5,190
215,Kamall Richards,,SF,6-6 / 210,85,2013,3.0,6-6,210
216,Collin Hartman,,SF,6-7 / 185,85,2013,3.0,6-7,185
217,Noah Allen,,SF,6-6 / 185,85,2013,3.0,6-6,185
218,Basil Smotherman,,SF,6-7 / 205,85,2013,3.0,6-7,205
219,Darin Minniefield,,PG,6-2 / 175,85,2013,3.0,6-2,175
220,Ben Moore,,PF,6-8 / 190,85,2013,3.0,6-8,190
221,Amida Brimah,,C,6-11 / 205,85,2013,3.0,6-11,205
222,Mark Alstork,,SG,6-4 / 190,85,2013,3.0,6-4,190
223,Matt Howard,,SG,6-3 / 180,84,2013,3.0,6-3,180
224,Emmanuel Ezechinoso,,C,6-10 / 240,84,2013,3.0,6-10,240
225,D.J. Brooks,,PG,6-1 / 170,84,2013,3.0,6-1,170
226,Patrick Rooks,,SG,6-3 / 170,84,2013,3.0,6-3,170
227,Christian Kennedy,,PF,6-10 / 200,84,2013,3.0,6-10,200
228,Tosin Mehinti,,PF,6-9 / 215,84,2013,3.0,6-9,215
229,Fallou Ndoye,,PF,6-10 / 215,84,2013,3.0,6-10,215
230,Sidy Djitte,,PF,6-10 / 215,84,2013,3.0,6-10,215
231,Wesley Iwundu,,SF,6-6 / 185,84,2013,3.0,6-6,185
232,Kendall Smith,,PG,6-0 / 155,84,2013,3.0,6-0,155
233,Shane Rector,,PG,6-1 / 175,84,2013,3.0,6-1,175
234,Dederick Lee,,PG,6-2 / 160,83,2013,3.0,6-2,160
235,Brandon Randolph,,PG,6-1 / 175,83,2013,3.0,6-1,175
236,R.J. Curington,,SG,6-6 / 170,83,2013,3.0,6-6,170
237,Miles Overton,,SG,6-4 / 190,83,2013,3.0,6-4,190
238,Malcolm Allen,,SG,6-1 / 165,83,2013,3.0,6-1,165
239,Alex Foster,,PF,6-8 / 215,83,2013,3.0,6-8,215
240,MiKyle McIntosh,,SF,6-6 / 225,83,2013,3.0,6-6,225
241,Mark Williams,,PF,6-7 / 235,83,2013,3.0,6-7,235
242,Martez Harrison,,PG,5-9 / 150,83,2013,3.0,5-9,150
243,Jahmel Taylor,,PG,5-11 / 160,83,2013,3.0,5-11,160
244,Kameron Rooks,,C,6-11 / 270,83,2013,3.0,6-11,270
245,Joshua Phillips,,PF,6-7 / 205,83,2013,3.0,6-7,205
246,Alec Peters,,SF,6-8 / 205,83,2013,3.0,6-8,205
247,D.J. Bowles,,PG,6-1 / 175,83,2013,3.0,6-1,175
1,Emmanuel Mudiay,,PG,6-5 / 190,100,2014,5.0,6-5,190
2,Karl-Anthony Towns,,C,7-1 / 248,100,2014,5.0,7-1,248
3,Stanley Johnson,,SG,6-7 / 226,100,2014,5.0,6-7,226
4,Cliff Alexander,,PF,6-9 / 240,100,2014,5.0,6-9,240
5,Kelly Oubre,,SG,6-7 / 190,100,2014,5.0,6-7,190
6,Jahlil Okafor,,C,6-11 / 270,100,2014,5.0,6-11,270
7,Myles Turner,,C,6-10 / 223,100,2014,5.0,6-10,223
8,Tyus Jones,,PG,6-2 / 180,99,2014,5.0,6-2,180
9,Justin Jackson,,SF,6-8 / 189,99,2014,5.0,6-8,189
10,Isaiah Whitehead,,SG,6-4 / 195,99,2014,5.0,6-4,195
11,Kevon Looney,,PF,6-9 / 208,99,2014,5.0,6-9,208
12,James Blackmon Jr.,,SG,6-3.5 / 180,99,2014,5.0,6-3.5,180
13,Rashad Vaughn,,SG,6-5 / 203,99,2014,5.0,6-5,203
14,Theo Pinson,,SF,6-6 / 180,99,2014,5.0,6-6,180
15,Justise Winslow,,SF,6-6 / 210,99,2014,5.0,6-6,210
16,Goodluck Okonoboh,,C,6-9 / 213,99,2014,5.0,6-9,213
17,Trey Lyles,,PF,6-9 / 245,99,2014,5.0,6-9,245
18,Daniel Hamilton,,SG,6-8 / 178,99,2014,5.0,6-8,178
19,Brandone Francis,,SG,6-5 / 209,98,2014,5.0,6-5,209
20,Tyler Ulis,,PG,5-8 / 142,98,2014,5.0,5-8,142
21,Shaqquan Aaron,,SG,6-8 / 174,98,2014,5.0,6-8,174
22,Devin Booker,,SG,6-6 / 194,98,2014,5.0,6-6,194
23,Terry Larrier,,SF,6-7 / 172,98,2014,5.0,6-7,172
24,Devin Robinson,,SF,6-8 / 169,98,2014,5.0,6-8,169
25,Dwayne Morgan,,SF,6-8 / 190,98,2014,5.0,6-8,190
26,Domantas Sabonis,,PF,6-11 / 210,98,2014,5.0,6-11,210
27,Jonah Bolden,,SF,6-9 / 210,98,2014,5.0,6-9,210
28,Kameron Chatman,,SF,6-6.5 / 197,97,2014,4.0,6-6.5,197
29,Isaac Copeland,,SF,6-9.5 / 187,97,2014,4.0,6-9.5,187
30,D'Angelo Russell,,SG,6-5 / 176,97,2014,4.0,6-5,176
31,Sviatoslav Mykhailiuk,,SG,6-6 / 180,97,2014,4.0,6-6,180
32,Chris McCullough,,PF,6-8.5 / 198,97,2014,4.0,6-8.5,198
33,Malik Pope,,SF,6-8 / 175,97,2014,4.0,6-8,175
34,Kaleb Joseph,,PG,6-2 / 170,97,2014,4.0,6-2,170
35,Melo Trimble,,PG,6-2 / 190,97,2014,4.0,6-2,190
36,Chris Chiozza,,PG,5-10 / 160,97,2014,4.0,5-10,160
37,Michal Cekovsky,,PF,7-0 / 220,96,2014,4.0,7-0,220
38,Grayson Allen,,SG,6-5 / 205,96,2014,4.0,6-5,205
39,Brekkott Chapman,,PF,6-8 / 200,96,2014,4.0,6-8,200
40,Ja'Quan Newton,,PG,6-2 / 173,96,2014,4.0,6-2,173
41,Leron Black,,PF,6-7 / 215,96,2014,4.0,6-7,215
42,Jared Terrell,,SG,6-3 / 220,96,2014,4.0,6-3,220
