BPI RK,TEAM,CONF,W-L,OFF,DEF,BPI,Year,,,,,
229,Lafayette Leopards,Patriot,6-Sep,1.7,-5.3,-3.6,2021,,,,,
230,Milwaukee Panthers,Horizon,12-Oct,-0.5,-3.1,-3.7,2021,,,,,
231,Georgia Southern Eagles,Sun Belt,13-13,-3.3,-0.4,-3.8,2021,,,,,
232,Bucknell Bison,Patriot,7-May,-1.2,-2.5,-3.8,2021,,,,,
233,Marist Red Foxes,MAAC,9-Dec,-5.7,2,-3.8,2021,,,,,
234,George Washington Revolutionaries,A-10,12-May,-0.6,-3.2,-3.8,2021,,,,,
235,Idaho State Bengals,Big Sky,13-11,-3.8,0,-3.9,2021,,,,,
236,Charlotte 49ers,CUSA,16-Sep,-3.1,-0.8,-3.9,2021,,,,,
237,Wyoming Cowboys,Mountain West,14-11,1.7,-5.7,-3.9,2021,,,,,
238,Lipscomb Bisons,ASUN,15-12,-1.2,-2.8,-3.9,2021,,,,,
239,Southern Illinois Salukis,MVC,14-Dec,-2.3,-1.7,-4,2021,,,,,
240,Stetson Hatters,ASUN,15-Dec,-0.7,-3.4,-4.1,2021,,,,,
241,Western Carolina Catamounts,Southern,16-Nov,-0.4,-3.7,-4.1,2021,,,,,
242,Valparaiso Beacons,MVC,18-Oct,-4.9,0.7,-4.2,2021,,,,,
243,Radford Highlanders,Big South,15-12,-3.1,-1.2,-4.3,2021,,,,,
244,NJIT Highlanders,Am. East,12-Jul,-2.8,-1.5,-4.3,2021,,,,,
245,Long Island University Sharks,NEC,9-Sep,-3.8,-0.5,-4.3,2021,,,,,
246,Jackson State Tigers,SWAC,6-Dec,-7.2,2.9,-4.4,2021,,,,,
247,Arkansas State Red Wolves,Sun Belt,13-Nov,-1,-3.4,-4.4,2021,,,,,
248,American University Eagles,Patriot,6-Apr,-1.9,-2.5,-4.4,2021,,,,,
249,Saint Joseph's Hawks,A-10,15-May,-0.9,-3.5,-4.4,2021,,,,,
250,Utah Valley Wolverines,WAC,11-Nov,-1.4,-3.1,-4.5,2021,,,,,
251,Merrimack Warriors,NEC,9-Sep,-6,1.4,-4.6,2021,,,,,
252,Delaware Blue Hens,CAA,8-Jul,-3.2,-1.4,-4.6,2021,,,,,
253,North Alabama Lions,ASUN,13-11,-3.4,-1.2,-4.6,2021,,,,,
254,Illinois State Redbirds,MVC,18-Jul,-2.6,-2.1,-4.7,2021,,,,,
255,Portland State Vikings,Big Sky,13-Sep,-5.5,0.5,-5,2021,,,,,
256,Quinnipiac Bobcats,MAAC,13-Sep,-5.4,0.4,-5,2021,,,,,
257,Northern Colorado Bears,Big Sky,11-Nov,-2.4,-2.5,-5,2021,,,,,
258,Florida Gulf Coast Eagles,ASUN,8-Oct,-5.3,0.2,-5.1,2021,,,,,
259,Cal State Fullerton Titans,Big West,10-Jun,-0.3,-4.8,-5.1,2021,,,,,
260,Evansville Purple Aces,MVC,16-Sep,1,-6.2,-5.2,2021,,,,,
